date,continent,new_cases_avg_per_pop,new_deaths_avg_per_pop
2020-05-05,Oceania,NA,NA
2020-05-05,North America,298592.48295453785,22810.927882363834
2020-05-05,South America,3240.625500321959,273.54411840077944
2020-05-06,Asia,8.038950801949374,0.21961796124548683
2020-05-06,Europe,278.99732200045094,24.561521773980843
2020-05-06,Africa,NA,NA
2020-05-06,Oceania,NA,NA
2020-05-06,North America,297312.3120503802,22805.560289474284
2020-05-06,South America,3337.1213809662377,268.91131444251175
2020-05-07,Asia,8.36168529592079,0.22446118011818203
2020-05-07,Europe,280.51219959385156,24.15849716336784
2020-05-07,Africa,NA,NA
2020-05-07,Oceania,NA,NA
2020-05-07,North America,296096.55226089724,23455.039029109797
2020-05-07,South America,3471.472695756001,281.0150364956436
2020-05-08,Asia,8.580158496341822,0.22463729716809822
2020-05-08,Europe,281.5073875577775,23.730725427541763
2020-05-08,Africa,NA,NA
2020-05-08,Oceania,NA,NA
2020-05-08,North America,294981.4348380933,23477.851298890386
2020-05-08,South America,3734.373886144544,292.74312579540236
2020-05-09,Asia,8.84222066661711,0.22727905291684103
2020-05-09,Europe,279.97483344636754,23.4744159164063
2020-05-09,Africa,NA,NA
2020-05-09,Oceania,NA,NA
2020-05-09,North America,292201.02172130655,23238.993415305424
2020-05-09,South America,3905.0781040662996,302.38436646531085
2020-05-10,Asia,9.11934084466023,0.22234777551918775
2020-05-10,Europe,270.9492033507975,20.534810971452714
2020-05-10,Africa,NA,NA
2020-05-10,Oceania,NA,NA
2020-05-10,North America,287672.115220749,22809.585984141446
2020-05-10,South America,4039.512892801257,305.8485351908624
2020-05-11,Asia,9.582176451839974,0.22534176536776293
2020-05-11,Europe,267.81869201134305,20.232542513492962
2020-05-11,Africa,NA,NA
2020-05-11,Oceania,NA,NA
2020-05-11,North America,284074.4860865283,22657.95148501167
2020-05-11,South America,4283.131601849983,330.6820338860811
2020-05-12,Asia,9.74913541516052,0.21486280089774973
2020-05-12,Europe,266.41164117779937,19.795932518662212
2020-05-12,Africa,NA,NA
2020-05-12,Oceania,NA,NA
2020-05-12,North America,275432.6615343533,22388.2299423118
2020-05-12,South America,4273.532098152671,345.08128943204827
2020-05-13,Asia,10.066410280584535,0.21451056679791738
2020-05-13,Europe,266.15886697026576,19.138366048714687
2020-05-13,Africa,NA,NA
2020-05-13,Oceania,NA,NA
2020-05-13,North America,272760.9421735799,22003.105152486605
2020-05-13,South America,4304.751353655232,360.56570626553764
2020-05-14,Asia,10.236803526378447,0.2155672690974145
2020-05-14,Europe,261.5788811540453,18.387114033317648
2020-05-14,Africa,NA,NA
2020-05-14,Oceania,NA,NA
2020-05-14,North America,274972.39044407435,20830.286106119995
2020-05-14,South America,4455.21313986744,374.1719593321617
2020-05-15,Asia,10.690921339587337,0.22049854649506778
2020-05-15,Europe,258.75063827255053,17.911615698866346
2020-05-15,Africa,NA,NA
2020-05-15,Oceania,NA,NA
2020-05-15,North America,264866.5549312747,19724.561970872757
2020-05-15,South America,4566.859541564432,380.7246640298917
2020-05-16,Asia,10.851628147635859,0.214158332698085
2020-05-16,Europe,252.96157862449098,17.497985177447738
2020-05-16,Africa,NA,NA
2020-05-16,Oceania,NA,NA
2020-05-16,North America,273961.9410826167,19786.28928910258
2020-05-16,South America,4766.654429386301,390.24069378200915
2020-05-17,Asia,11.292184948001204,0.22093883911985826
2020-05-17,Europe,242.8347014569389,15.39447953433603
2020-05-17,Africa,NA,NA
2020-05-17,Oceania,NA,NA
2020-05-17,North America,272008.13727082056,19700.407802869784
2020-05-17,South America,5066.0754707972255,408.938857505468
2020-05-18,Asia,11.527741502264107,0.22710293586692484
2020-05-18,Europe,237.07569188949523,14.961404843107148
2020-05-18,Africa,NA,NA
2020-05-18,Oceania,NA,NA
2020-05-18,North America,272781.0706469157,19508.51635706838
2020-05-18,South America,5371.214477453937,402.21920491734994
2020-05-19,Asia,11.85338192755914,0.23282673998920098
2020-05-19,Europe,233.89745395141554,14.492977115859583
2020-05-19,Africa,NA,NA
2020-05-19,Oceania,NA,NA
2020-05-19,North America,272268.46552596375,19391.771211720676
2020-05-19,South America,5543.9638070329465,403.0956813418871
2020-05-20,Asia,12.273597208659165,0.23379538376373998
2020-05-20,Europe,226.0826653394854,14.37807974879886
2020-05-20,Africa,NA,NA
2020-05-20,Oceania,NA,NA
2020-05-20,North America,277758.1711537507,19358.223756160987
2020-05-20,South America,6004.656510558703,413.1960287103626
2020-05-21,Asia,12.686151398087835,0.22895216489104483
2020-05-21,Europe,226.604122620761,14.169496836288623
2020-05-21,Africa,NA,NA
2020-05-21,Oceania,NA,NA
2020-05-21,North America,276516.9152980423,18867.089006767193
2020-05-21,South America,6508.922613475734,433.93930409107475
2020-05-22,Asia,13.1443199034448,0.2354684957379438
2020-05-22,Europe,221.38954980800509,13.794754654490571
2020-05-22,Africa,NA,NA
2020-05-22,Oceania,NA,NA
2020-05-22,North America,285530.44565781864,18767.788538310524
2020-05-22,South America,6982.386830616173,445.79260430862456
2020-05-23,Asia,13.599582477478146,0.23881471968635137
2020-05-23,Europe,218.28555324556459,13.312185712835532
2020-05-23,Africa,NA,NA
2020-05-23,Oceania,NA,NA
2020-05-23,North America,275368.2504196787,17589.601899054367
2020-05-23,South America,7304.679733010256,467.4958300590678
2020-05-24,Asia,14.104069766963068,0.24321764593425607
2020-05-24,Europe,216.90148188543313,12.159676738626427
2020-05-24,Africa,NA,NA
2020-05-24,Oceania,NA,NA
2020-05-24,North America,275607.1083032636,17965.333401322845
2020-05-24,South America,7562.614223659755,466.0350360181726
2020-05-25,Asia,14.39677630392377,0.24163259248501037
2020-05-25,Europe,215.68180214278848,11.67357249336952
2020-05-25,Africa,NA,NA
2020-05-25,Oceania,NA,NA
2020-05-25,North America,270392.4918110661,17553.370647049906
2020-05-25,South America,7673.133727096628,469.95831144229123
2020-05-26,Asia,14.520410472964937,0.2400475390357647
2020-05-26,Europe,213.76920289417768,11.578119296119072
2020-05-26,Africa,NA,NA
2020-05-26,Oceania,NA,NA
2020-05-26,North America,272163.79746461747,17344.034524357467
2020-05-26,South America,8167.090797782197,481.93682257763203
